,Group,Maker/Brand,Type,Segment,Model,Month,Sales,Monthly_Segment_Sales,Percentage_Contribution
729,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-05-01,883,981,90.0101936799184
730,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-05-01,0,3741,0
731,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-06-01,369,24070,1.5330286663897
732,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-06-01,0,14094,0
733,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-06-01,47,8846,0.531313588062401
734,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-06-01,1636,24070,6.79684254258413
735,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-06-01,219,14094,1.55385270327799
736,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-06-01,1707,14094,12.1115368241805
737,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-06-01,2801,10921,25.6478344473949
738,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-06-01,6654,9323,71.3718760055776
739,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-06-01,11,9323,0.117987772176338
740,Suzuki,Suzuki,Cars,A,Alto,2020-06-01,7215,24070,29.9750727046115
741,Suzuki,Suzuki,Cars,A,Celerio,2020-06-01,3406,24070,14.150394682177
742,Suzuki,Suzuki,Cars,A,Wagon R,2020-06-01,7168,24070,29.7798088907354
743,Suzuki,Suzuki,Cars,B,Dzire,2020-06-01,5284,14094,37.491130977721
744,Suzuki,Suzuki,Cars,B,Swift,2020-06-01,4454,14094,31.6021001844757
745,Suzuki,Suzuki,Cars,C,Baleno,2020-06-01,3758,10921,34.4107682446662
746,Suzuki,Suzuki,Cars,C,Ciaz,2020-06-01,363,10921,3.32387144034429
747,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-06-01,1338,9420,14.203821656051
748,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-06-01,0,9420,0
749,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-06-01,4569,9420,48.5031847133758
750,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-06-01,3109,8846,35.1458286231065
751,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-06-01,3413,8846,38.5824101288718
752,VW Group,Skoda,Cars,C,Octavia (Laura),2020-06-01,0,10921,0
753,VW Group,Skoda,Cars,D,Skoda Superb,2020-06-01,95,133,71.4285714285714
754,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-06-01,0,9323,0
755,Toyota Group,Toyota,Cars,D,Camry,2020-06-01,38,133,28.5714285714286
756,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-06-01,688,4141,16.6143443612654
757,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-06-01,2277,8846,25.7404476599593
758,Honda,Honda,Cars,A,Amaze,2020-06-01,0,24070,0
759,Honda,Honda,Cars,B,Fit (Jazz),2020-06-01,0,14094,0
760,Honda,Honda,Cars,C,City,2020-06-01,615,10921,5.63135244025272
761,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-06-01,733,9420,7.78131634819533
762,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-06-01,181,181,100
763,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-06-01,2648,9323,28.4028746111767
764,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-06-01,10,9323,0.107261611069398
765,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-06-01,3453,4141,83.3856556387346
766,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-06-01,0,55,0
767,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-06-01,55,55,100
768,VW Group,VW,Cars,B,Polo,2020-06-01,1910,14094,13.5518660422875
769,VW Group,VW,Cars,C,Vento,2020-06-01,3384,10921,30.9861734273418
770,Tata Group,Tata,Cars,A,Tiago,2020-06-01,3739,24070,15.533859576236
771,Tata Group,Tata,Cars,B,Tigor,2020-06-01,520,14094,3.68951326805733
772,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-06-01,2780,9420,29.5116772823779
773,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-06-01,537,24070,2.23099293726631
774,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-07-01,702,51112,1.37345437470653
775,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-07-01,53,32279,0.164193438458441
776,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-07-01,58,20247,0.286462191929669
777,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-07-01,9267,51112,18.1307716387541
778,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-07-01,0,32279,0
779,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-07-01,6737,32279,20.8711546206512
780,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-07-01,2544,25348,10.0362947767082
781,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-07-01,11901,14985,79.4194194194194
782,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-07-01,50,14985,0.333667000333667
783,Suzuki,Suzuki,Cars,A,Alto,2020-07-01,14909,51112,29.169275316951
784,Suzuki,Suzuki,Cars,A,Celerio,2020-07-01,4050,51112,7.9237752386915
785,Suzuki,Suzuki,Cars,A,Wagon R,2020-07-01,13020,51112,25.4734700266082
786,Suzuki,Suzuki,Cars,B,Dzire,2020-07-01,9390,32279,29.0901205117878
787,Suzuki,Suzuki,Cars,B,Swift,2020-07-01,12030,32279,37.2688125406611
788,Suzuki,Suzuki,Cars,C,Baleno,2020-07-01,12969,25348,51.163799905318
789,Suzuki,Suzuki,Cars,C,Ciaz,2020-07-01,1479,25348,5.8347798642891
790,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-07-01,2613,15901,16.4329287466197
791,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-07-01,541,15901,3.4023017420288
792,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-07-01,7878,15901,49.5440538330923
793,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-07-01,8708,20247,43.0088408159233
794,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-07-01,8700,20247,42.9693287894503
795,VW Group,Skoda,Cars,C,Octavia (Laura),2020-07-01,8,25348,0.031560675398454
796,VW Group,Skoda,Cars,D,Skoda Superb,2020-07-01,353,388,90.979381443299
797,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-07-01,0,14985,0
798,Toyota Group,Toyota,Cars,D,Camry,2020-07-01,35,388,9.02061855670103
799,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-07-01,836,5041,16.584011108907
800,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-07-01,2781,20247,13.7353682026967
801,Honda,Honda,Cars,A,Amaze,2020-07-01,2640,51112,5.1651275629989
802,Honda,Honda,Cars,B,Fit (Jazz),2020-07-01,0,32279,0
803,Honda,Honda,Cars,C,City,2020-07-01,2012,25348,7.93750986271106
804,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-07-01,642,15901,4.03748191937614
805,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-07-01,273,273,100
806,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-07-01,3034,14985,20.2469135802469
807,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-07-01,0,14985,0
808,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-07-01,4205,5041,83.415988891093
809,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-07-01,0,80,0
810,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-07-01,80,80,100
811,VW Group,VW,Cars,B,Polo,2020-07-01,3211,32279,9.94764397905759
812,VW Group,VW,Cars,C,Vento,2020-07-01,6336,25348,24.9960549155752
813,Tata Group,Tata,Cars,A,Tiago,2020-07-01,4676,51112,9.14853654719048
814,Tata Group,Tata,Cars,B,Tigor,2020-07-01,858,32279,2.65807490938381
815,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-07-01,4227,15901,26.5832337588831
816,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-07-01,1848,51112,3.61558929409923
817,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-08-01,485,57483,0.843727710801454
818,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-08-01,80,42914,0.186419350328564
819,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-08-01,85,21318,0.398724082934609
820,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-08-01,10347,57483,18.0001043786859
821,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-08-01,134,42914,0.312252411800345
822,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-08-01,9900,42914,23.0693946031598
823,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-08-01,4533,22371,20.2628402842966
824,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-08-01,13005,16501,78.8134052481668
825,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-08-01,169,16501,1.0241803527059
826,Suzuki,Suzuki,Cars,A,Alto,2020-08-01,14310,57483,24.8943165805542
827,Suzuki,Suzuki,Cars,A,Celerio,2020-08-01,5574,57483,9.69677991754084
828,Suzuki,Suzuki,Cars,A,Wagon R,2020-08-01,13731,57483,23.8870622618861
829,Suzuki,Suzuki,Cars,B,Dzire,2020-08-01,14246,42914,33.196625809759
830,Suzuki,Suzuki,Cars,B,Swift,2020-08-01,16389,42914,38.1903341566855
831,Suzuki,Suzuki,Cars,C,Baleno,2020-08-01,12831,22371,57.3555048947298
832,Suzuki,Suzuki,Cars,C,Ciaz,2020-08-01,1190,22371,5.31938670600331
833,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-08-01,3196,19156,16.6840676550428
834,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-08-01,2796,19156,14.595949049906
835,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-08-01,7389,19156,38.572770933389
836,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-08-01,8898,21318,41.7393751759077
837,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-08-01,9393,21318,44.0613566000563
838,VW Group,Skoda,Cars,C,Octavia (Laura),2020-08-01,0,22371,0
839,VW Group,Skoda,Cars,D,Skoda Superb,2020-08-01,230,269,85.5018587360595
840,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-08-01,0,16501,0
841,Toyota Group,Toyota,Cars,D,Camry,2020-08-01,39,269,14.4981412639405
842,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-08-01,683,6068,11.255767963085
843,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-08-01,2942,21318,13.8005441411014
844,Honda,Honda,Cars,A,Amaze,2020-08-01,3794,57483,6.60021223666127
845,Honda,Honda,Cars,B,Fit (Jazz),2020-08-01,657,42914,1.53096891457333
846,Honda,Honda,Cars,C,City,2020-08-01,2504,22371,11.1930624469179
847,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-08-01,781,19156,4.07705157652955
848,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-08-01,440,440,100
849,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-08-01,3327,16501,20.1624143991273
850,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-08-01,0,16501,0
851,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-08-01,5385,6068,88.744232036915
852,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-08-01,30,177,16.9491525423729
853,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-08-01,147,177,83.0508474576271
854,VW Group,VW,Cars,B,Polo,2020-08-01,494,42914,1.15113948827888
855,VW Group,VW,Cars,C,Vento,2020-08-01,1313,22371,5.86920566805239
856,Tata Group,Tata,Cars,A,Tiago,2020-08-01,5524,57483,9.60979767931389
857,Tata Group,Tata,Cars,B,Tigor,2020-08-01,1014,42914,2.36286526541455
858,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-08-01,4994,19156,26.0701607851326
859,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-08-01,3718,57483,6.4679992345563
860,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-09-01,641,73691,0.869848421109769
861,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-09-01,0,52354,0
862,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-09-01,0,25934,0
863,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-09-01,11546,73691,15.668127722517
864,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-09-01,336,52354,0.641784772892234
865,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-09-01,8698,52354,16.6138212935019
866,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-09-01,5428,36156,15.0127226463104
867,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-09-01,15003,19243,77.9660136153406
868,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-09-01,50,19243,0.259834745102115
869,Suzuki,Suzuki,Cars,A,Alto,2020-09-01,18986,73691,25.764340285788
870,Suzuki,Suzuki,Cars,A,Celerio,2020-09-01,7398,73691,10.0392178149299
871,Suzuki,Suzuki,Cars,A,Wagon R,2020-09-01,17500,73691,23.747811808769
872,Suzuki,Suzuki,Cars,B,Dzire,2020-09-01,14999,52354,28.6491958589602
873,Suzuki,Suzuki,Cars,B,Swift,2020-09-01,23309,52354,44.5219085456699
874,Suzuki,Suzuki,Cars,C,Baleno,2020-09-01,21747,36156,60.1476933289081
875,Suzuki,Suzuki,Cars,C,Ciaz,2020-09-01,2421,36156,6.69598406903419
876,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-09-01,3381,25083,13.479248893673
877,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-09-01,3431,25083,13.6785870908584
878,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-09-01,10722,25083,42.7460830044253
879,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-09-01,11183,25934,43.1209994601681
880,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-09-01,10095,25934,38.9257345569523
881,VW Group,Skoda,Cars,C,Octavia (Laura),2020-09-01,3,36156,0.008297378028543
882,VW Group,Skoda,Cars,D,Skoda Superb,2020-09-01,173,194,89.1752577319588
883,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-09-01,0,19243,0
884,Toyota Group,Toyota,Cars,D,Camry,2020-09-01,21,194,10.8247422680412
885,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-09-01,1107,6823,16.2245346621721
886,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-09-01,4656,25934,17.9532659828796
887,Honda,Honda,Cars,A,Amaze,2020-09-01,5641,73691,7.6549375093295
888,Honda,Honda,Cars,B,Fit (Jazz),2020-09-01,723,52354,1.38098330595561
889,Honda,Honda,Cars,C,City,2020-09-01,2953,36156,8.16738577276247
890,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-09-01,1257,25083,5.01136227723957
891,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-09-01,350,350,100
892,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-09-01,3590,19243,18.6561346983319
893,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-09-01,600,19243,3.11801694122538
894,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-09-01,5716,6823,83.7754653378279
895,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-09-01,70,238,29.4117647058824
896,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-09-01,168,238,70.5882352941177
897,VW Group,VW,Cars,B,Polo,2020-09-01,3012,52354,5.75314207128395
898,VW Group,VW,Cars,C,Vento,2020-09-01,3604,36156,9.9679168049563
899,Tata Group,Tata,Cars,A,Tiago,2020-09-01,6959,73691,9.44348699298422
900,Tata Group,Tata,Cars,B,Tigor,2020-09-01,1277,52354,2.43916415173626
901,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-09-01,6292,25083,25.0847187338038
902,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-09-01,5020,73691,6.81222944457261
903,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-10-01,988,78134,1.26449433025315
904,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-10-01,64,59315,0.107898507965945
905,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-10-01,65,26551,0.244811871492599
906,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-10-01,15394,78134,19.7020503238027
907,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-10-01,11,59315,0.018545056056647
908,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-10-01,10109,59315,17.0429065160583
909,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-10-01,5849,39083,14.9655860604355
910,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-10-01,16803,22303,75.3396404071201
911,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-10-01,79,22303,0.354212437788638
912,Suzuki,Suzuki,Cars,A,Alto,2020-10-01,18711,78134,23.9473212685899
913,Suzuki,Suzuki,Cars,A,Celerio,2020-10-01,7947,78134,10.1709883021476
914,Suzuki,Suzuki,Cars,A,Wagon R,2020-10-01,18578,78134,23.7771008779789
915,Suzuki,Suzuki,Cars,B,Dzire,2020-10-01,18725,59315,31.5687431509736
916,Suzuki,Suzuki,Cars,B,Swift,2020-10-01,24959,59315,42.0787321925314
917,Suzuki,Suzuki,Cars,C,Baleno,2020-10-01,24583,39083,62.8994703579562
918,Suzuki,Suzuki,Cars,C,Ciaz,2020-10-01,1490,39083,3.81239925287209
919,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-10-01,4560,26031,17.5175751988014
920,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-10-01,2395,26031,9.20056855287926
921,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-10-01,10651,26031,40.9165994391303
922,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-10-01,13342,26551,50.2504613762194
923,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-10-01,8626,26551,32.4884185153102
924,VW Group,Skoda,Cars,C,Octavia (Laura),2020-10-01,3,39083,0.007675971650078
925,VW Group,Skoda,Cars,D,Skoda Superb,2020-10-01,166,166,100
926,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-10-01,0,22303,0
927,Toyota Group,Toyota,Cars,D,Camry,2020-10-01,0,166,0
928,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-10-01,1493,7922,18.8462509467306
929,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-10-01,4518,26551,17.0163082369779
930,Honda,Honda,Cars,A,Amaze,2020-10-01,4727,78134,6.04986305577597
931,Honda,Honda,Cars,B,Fit (Jazz),2020-10-01,600,59315,1.01154851218073
932,Honda,Honda,Cars,C,City,2020-10-01,3922,39083,10.0350536038687
933,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-10-01,1023,26031,3.92992969920479
934,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-10-01,261,261,100
935,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-10-01,4073,22303,18.2621172039636
936,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-10-01,1348,22303,6.04402995112765
937,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-10-01,6429,7922,81.1537490532694
938,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-10-01,70,288,24.3055555555556
939,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-10-01,218,288,75.6944444444444
940,VW Group,VW,Cars,B,Polo,2020-10-01,3126,59315,5.2701677484616
941,VW Group,VW,Cars,C,Vento,2020-10-01,3236,39083,8.27981475321751
942,Tata Group,Tata,Cars,A,Tiago,2020-10-01,6763,78134,8.65564286994138
943,Tata Group,Tata,Cars,B,Tigor,2020-10-01,1721,59315,2.90145831577173
944,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-10-01,7402,26031,28.4353271099842
945,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-10-01,5026,78134,6.43253897151048
946,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-11-01,947,68386,1.38478635978124
947,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-11-01,69,48150,0.143302180685358
948,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-11-01,118,22182,0.531962852763502
949,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-11-01,13328,68386,19.4893691691282
950,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-11-01,131,48150,0.272066458982347
951,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-11-01,9553,48150,19.8400830737279
952,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-11-01,3912,29988,13.0452180872349
953,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-11-01,15073,21174,71.1863606309625
954,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-11-01,55,21174,0.259752526683669
955,Suzuki,Suzuki,Cars,A,Alto,2020-11-01,15801,68386,23.1056064106688
956,Suzuki,Suzuki,Cars,A,Celerio,2020-11-01,7147,68386,10.4509694966806
957,Suzuki,Suzuki,Cars,A,Wagon R,2020-11-01,16291,68386,23.8221273360044
958,Suzuki,Suzuki,Cars,B,Dzire,2020-11-01,15034,48150,31.2232606438214
959,Suzuki,Suzuki,Cars,B,Swift,2020-11-01,19988,48150,41.5119418483905
960,Suzuki,Suzuki,Cars,C,Baleno,2020-11-01,20270,29988,67.593704148326
961,Suzuki,Suzuki,Cars,C,Ciaz,2020-11-01,1192,29988,3.9749233026544
962,Suzuki,Suzuki,Cars,SUV-B,Ignis,2020-11-01,4022,21405,18.7900023359028
963,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2020-11-01,2138,21405,9.98832048586779
964,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2020-11-01,8034,21405,37.5332866152768
965,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2020-11-01,11212,22182,50.545487332071
966,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2020-11-01,9048,22182,40.7898295915607
967,VW Group,Skoda,Cars,C,Octavia (Laura),2020-11-01,0,29988,0
968,VW Group,Skoda,Cars,D,Skoda Superb,2020-11-01,55,57,96.4912280701754
969,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-11-01,0,21174,0
970,Toyota Group,Toyota,Cars,D,Camry,2020-11-01,2,57,3.50877192982456
971,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-11-01,577,6661,8.66236300855727
972,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-11-01,1804,22182,8.13272022360473
973,Honda,Honda,Cars,A,Amaze,2020-11-01,4499,68386,6.57883192466294
974,Honda,Honda,Cars,B,Fit (Jazz),2020-11-01,659,48150,1.36863966770509
975,Honda,Honda,Cars,C,City,2020-11-01,3413,29988,11.3812191543284
976,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-11-01,899,21405,4.19995328194347
977,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-11-01,382,382,100
978,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-11-01,3748,21174,17.7009540001889
979,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-11-01,2298,21174,10.8529328421649
980,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-11-01,6084,6661,91.3376369914427
981,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-11-01,42,163,25.7668711656442
982,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-11-01,121,163,74.2331288343558
983,VW Group,VW,Cars,B,Polo,2020-11-01,1247,48150,2.58982346832814
984,VW Group,VW,Cars,C,Vento,2020-11-01,1201,29988,4.00493530745632
985,Tata Group,Tata,Cars,A,Tiago,2020-11-01,5768,68386,8.43447489252186
986,Tata Group,Tata,Cars,B,Tigor,2020-11-01,1469,48150,3.05088265835929
987,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2020-11-01,6312,21405,29.4884372810091
988,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2020-11-01,4605,68386,6.73383441055187
989,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2020-12-01,648,75262,0.860992267013898
990,Renault-Nissan Alliance,Datsun,Cars,B,Go,2020-12-01,98,48703,0.201219637394
991,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2020-12-01,104,23164,0.448972543602141
992,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2020-12-01,14768,75262,19.6221200605883
993,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2020-12-01,430,48703,0.882902490606328
994,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2020-12-01,8970,48703,18.4177566063692
995,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2020-12-01,8454,36220,23.3406957482054
996,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2020-12-01,16700,22311,74.8509703733584
997,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2020-12-01,100,22311,0.448209403433284
