,Group,Maker/Brand,Type,Segment,Model,Month,Sales,Monthly_Segment_Sales,Percentage_Contribution
537,VW Group,Skoda,Cars,C,Octavia (Laura),2020-01-01,0,33861,0
538,VW Group,Skoda,Cars,D,Skoda Superb,2020-01-01,0,69,0
539,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2020-01-01,0,14418,0
540,Toyota Group,Toyota,Cars,D,Camry,2020-01-01,69,69,100
541,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2020-01-01,278,7567,3.67384696709396
542,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2020-01-01,2375,25371,9.36108154980095
543,Honda,Honda,Cars,A,Amaze,2020-01-01,2640,70613,3.73868834350615
544,Honda,Honda,Cars,B,Fit (Jazz),2020-01-01,0,60663,0
545,Honda,Honda,Cars,C,City,2020-01-01,1470,33861,4.34127757597236
546,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2020-01-01,0,15112,0
547,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2020-01-01,163,163,100
548,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2020-01-01,5531,14418,38.3617700097101
549,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2020-01-01,0,14418,0
550,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2020-01-01,7289,7567,96.326153032906
551,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2020-01-01,50,243,20.5761316872428
552,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2020-01-01,193,243,79.4238683127572
